PartitionKey,RowKey,Timestamp
dk,Aalborg,2020-11-01T08:16:41.129Z
dk,København,2020-11-01T08:13:25.334Z
dk,Odense,2020-11-01T08:16:28.807Z
dk,Århus,2020-11-01T08:16:22.929Z
fi,Espoo,2020-11-01T08:18:12.789Z
fi,Helsinki,2020-11-01T08:18:47.221Z
fi,Lahti,2020-11-01T08:19:28.199Z
fi,Tampere,2020-11-01T08:18:57.551Z
fi,Vantaa,2020-11-01T08:19:10.100Z
no,Arendal,2020-11-01T08:20:27.003Z
no,Bergen,2020-11-01T08:11:29.788Z
no,Bodø,2020-11-01T08:11:47.037Z
no,Drammen,2020-11-01T08:12:33.735Z
no,Hammerfest,2020-11-01T08:12:25.501Z
no,Lillehammer,2020-11-01T08:20:10.865Z
no,Molde,2020-11-01T08:11:56.536Z
no,Oslo,2020-11-01T08:11:08.982Z
no,Sandefjord,2020-11-01T08:12:12.687Z
no,Stavanger,2020-11-01T08:12:05.037Z
no,Tromsø,2020-11-01T08:11:38.631Z
no,Trondheim,2020-11-01T08:11:18.828Z
no,Ålesund,2020-11-01T08:19:57.062Z
pt,Braga,2020-11-01T08:15:07.317Z
pt,Faro,2020-11-01T08:14:07.976Z
pt,Lisboa,2020-11-01T08:14:01.585Z
pt,Portimão,2020-11-01T08:15:30.853Z
pt,Porto,2020-11-01T08:14:14.528Z
pt,Santa Catarina da Fonte do Bispo,2020-11-01T08:14:38.488Z
pt,Évora,2020-11-01T08:15:50.461Z
se,Göteborg,2020-11-01T08:13:08.205Z
se,Linköping,2020-11-01T08:17:52.920Z
se,Malmö,2020-11-01T08:17:02.332Z
se,Stockholm,2020-11-01T08:12:47.447Z
se,Uppsala,2020-11-01T08:17:12.307Z
se,Västerås,2020-11-01T08:17:27.037Z
se,Örebro,2020-11-01T08:17:42.200Z
